11:29:08.220 [main] INFO  net.lomibao.nes.components.CPU6502 - 0,00,BRK,Implied,Force Interrupt,1,7,IMM
11:29:08.229 [main] INFO  net.lomibao.nes.components.CPU6502 - 1,01,ORA,(Indirect;X),Logical Inclusive OR,2,6,IZX
11:29:08.229 [main] INFO  net.lomibao.nes.components.CPU6502 - 2,02,???,???,???,1,2,IMP
11:29:08.230 [main] INFO  net.lomibao.nes.components.CPU6502 - 3,03,???,???,???,1,8,IMP
11:29:08.230 [main] INFO  net.lomibao.nes.components.CPU6502 - 4,04,???,???,???,1,3,IMP
11:29:08.230 [main] INFO  net.lomibao.nes.components.CPU6502 - 5,05,ORA,ZeroPage,Logical Inclusive OR,2,3,ZP0
11:29:08.230 [main] INFO  net.lomibao.nes.components.CPU6502 - 6,06,ASL,ZeroPage,Arithmetic Shift Left,2,5,ZP0
11:29:08.231 [main] INFO  net.lomibao.nes.components.CPU6502 - 7,07,???,???,???,1,5,IMP
11:29:08.231 [main] INFO  net.lomibao.nes.components.CPU6502 - 8,08,PHP,Implied,Push Processor Status,1,3,IMP
11:29:08.231 [main] INFO  net.lomibao.nes.components.CPU6502 - 9,09,ORA,Immediate,Logical Inclusive OR,2,2,IMM
11:29:08.232 [main] INFO  net.lomibao.nes.components.CPU6502 - 10,0A,ASL,Accumulator,Arithmetic Shift Left,1,2,IMP
11:29:08.232 [main] INFO  net.lomibao.nes.components.CPU6502 - 11,0B,???,???,???,1,2,IMP
11:29:08.232 [main] INFO  net.lomibao.nes.components.CPU6502 - 12,0C,???,???,???,1,4,IMP
11:29:08.232 [main] INFO  net.lomibao.nes.components.CPU6502 - 13,0D,ORA,Absolute,Logical Inclusive OR,3,4,ABS
11:29:08.233 [main] INFO  net.lomibao.nes.components.CPU6502 - 14,0E,ASL,Absolute,Arithmetic Shift Left,3,6,ABS
11:29:08.233 [main] INFO  net.lomibao.nes.components.CPU6502 - 15,0F,???,???,???,1,6,IMP
